Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-04-04T08:00:53Z,https://www.theguardian.com/commentisfree/2020/apr/04/coronavirus-boundaries-fight-global-shared-threats,1, ,0.5,0.5,0.5,0.61424,0.749827,0.5,0.5
Guardian,2020-03-31T09:00:48Z,https://www.theguardian.com/commentisfree/2020/mar/31/us-china-coronavirus-diplomacy,1, ,0.5,0.5,0.5,0.515025,0.736221,0.5,0.593992
Guardian,2020-04-03T17:30:36Z,https://www.theguardian.com/commentisfree/2020/apr/03/the-guardian-view-on-trump-and-coronavirus-endangering-american-lives,1, ,0.5,0.532959,0.5,0.586029,0.686802,0.5,0.5
Guardian,2020-04-02T05:00:41Z,https://www.theguardian.com/commentisfree/2020/apr/02/government-publish-data-coronavirus-deaths,1, ,0.5,0.5,0.539954,0.532424,0.763567,0.5,0.665425
Guardian,2020-03-30T14:12:33Z,https://www.theguardian.com/commentisfree/2020/mar/30/jails-coronavirus-us-rikers-island,1, ,0.5,0.528822,0.5,0.619933,0.673733,0.5,0.584949
Guardian,2020-04-01T16:09:41Z,https://www.theguardian.com/commentisfree/2020/apr/01/policing-under-coronavirus-the-real-test-is-yet-to-come,1, ,0.5,0.5,0.536127,0.5,0.773166,0.5,0.70762
Guardian,2020-03-29T11:56:09Z,https://www.theguardian.com/commentisfree/2020/mar/29/coronavirus-means-we-really-are-finally-all-in-this-together,1, ,0.5,0.5,0.5,0.579224,0.6774,0.5,0.698328
Guardian,2020-03-30T17:42:20Z,https://www.theguardian.com/commentisfree/2020/mar/30/the-guardian-view-on-coronavirus-policing-not-a-shame-game,1, ,0.5,0.5,0.5,0.550427,0.815841,0.5,0.802389
Guardian,2020-03-29T16:44:28Z,https://www.theguardian.com/commentisfree/2020/mar/29/the-guardian-view-on-hungarys-coronavirus-law-orbans-power-grab,1, ,0.5,0.5,0.5,0.5,0.660659,0.5,0.5
Guardian,2020-03-31T11:51:40Z,https://www.theguardian.com/commentisfree/2020/mar/31/egypt-coronavirus-transparency-sisi-crackdown,1, ,0.5,0.539576,0.50264,0.55122,0.792787,0.5,0.5
