Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-09-08T17:28:22Z,https://www.theguardian.com/politics/2020/sep/08/uks-public-spending-watchdog-estimates-210bn-coronavirus-bill,0, ,0.5,0.5,0.5,0.5,0.697091,0.5,0.5
Guardian,2020-09-07T10:20:01Z,https://www.theguardian.com/business/2020/sep/07/pizza-express-full-list-of-restaurants-to-close,0, ,0.5,0.5,0.549357,0.5,0.5,0.5,0.5
Guardian,2020-09-11T07:41:00Z,https://www.theguardian.com/business/2020/sep/11/hopeful-cautious-business-owners-on-uk-recovery-coronavirus,0, ,0.5,0.5,0.519867,0.551084,0.51334,0.5,0.677777
Guardian,2020-09-08T07:10:05Z,https://www.theguardian.com/business/2020/sep/08/easyjet-cut-flights-uk-covid-quarantine-rules,0, ,0.5,0.5,0.5,0.576912,0.5,0.5,0.523435
Guardian,2020-09-10T09:15:26Z,https://www.theguardian.com/business/2020/sep/10/oxford-covid-19-vaccine-is-still-possible-this-year-says-astrazeneca-chief,0, ,0.5,0.5,0.5,0.558622,0.781761,0.5,0.5
Guardian,2020-09-10T15:02:33Z,https://www.theguardian.com/business/2020/sep/10/lloyds-of-london-expects-5bn-in-covid-19-insurance-payouts,0, ,0.5,0.5,0.5,0.573885,0.691119,0.5,0.5
Guardian,2020-09-09T08:32:31Z,https://www.theguardian.com/business/2020/sep/09/ryanair-cuts-passenger-target-and-writes-off-winter-travel-market-michael-oleary-covid-19,0, ,0.599117,0.5,0.5,0.5,0.556794,0.5,0.508001
Guardian,2020-09-10T17:03:36Z,https://www.theguardian.com/business/2020/sep/10/mclaren-plans-to-sell-then-lease-back-woking-hq-after-sales-slump-supercar-norman-fosster-coronavirus,0, ,0.5,0.5,0.5,0.566017,0.722151,0.5,0.5
Guardian,2020-09-09T15:43:12Z,https://www.theguardian.com/business/2020/sep/09/firms-forced-to-shut-by-local-lockdowns-can-claim-up-to-500-a-week-grant-england-coronavirus,0, ,0.5,0.5,0.5,0.533477,0.646977,0.5,0.5
Guardian,2020-09-08T10:27:37Z,https://www.theguardian.com/business/2020/sep/08/jd-sports-sales-resilient-covid-lockdown-blacks-millets-go-outdoors,0, ,0.634225,0.5,0.570485,0.5,0.5,0.5,0.5
Guardian,2020-09-06T16:00:46Z,https://www.theguardian.com/business/2020/sep/06/rail-firms-to-restore-90-of-services-amid-back-to-work-push,0, ,0.5,0.5,0.574107,0.5,0.562592,0.5,0.665772
Guardian,2020-09-10T15:02:33Z,https://www.theguardian.com/business/2020/sep/10/lloyds-of-london-expects-5bn-in-covid-19-insurance-payouts,0, ,0.5,0.5,0.5,0.573885,0.691119,0.5,0.5
Guardian,2020-09-09T23:01:27Z,https://www.theguardian.com/business/2020/sep/10/make-jobs-higher-priority-gordon-brown-tells-bank-of-england,0, ,0.5,0.5,0.5,0.629019,0.501128,0.5,0.5
Guardian,2020-09-08T18:03:45Z,https://www.theguardian.com/business/2020/sep/08/royal-mail-loss-parcels-covid-crisis-letters,0, ,0.5,0.5,0.5,0.567503,0.507047,0.5,0.5
Guardian,2020-09-08T13:05:09Z,https://www.theguardian.com/business/2020/sep/08/bank-of-englands-top-economist-warns-against-furlough-extension-covid-19,0, ,0.5,0.5,0.5,0.598741,0.690096,0.5,0.5
Guardian,2020-09-12T15:00:34Z,https://www.theguardian.com/business/2020/sep/12/tax-rises-and-austerity-are-not-the-way-to-shore-up-post-pandemic-growth,0, ,0.5,0.5,0.5,0.563121,0.679037,0.5,0.641555
Guardian,2020-09-07T09:33:17Z,https://www.theguardian.com/business/2020/sep/07/pizza-express-close-restaurants-jobs-birmingham-bristol-london,0, ,0.5,0.666642,0.5,0.601827,0.551869,0.5,0.5
Guardian,2020-09-06T06:00:16Z,https://www.theguardian.com/business/2020/sep/06/the-day-for-taxation-will-come-for-now-sunak-must-budget-for-growth,0, ,0.5,0.532808,0.53678,0.5155,0.626501,0.5,0.619168
Guardian,2020-09-11T06:24:56Z,https://www.theguardian.com/business/2020/sep/11/uk-economic-recovery-from-covid-19-crisis-continues,0, ,0.5,0.5,0.5,0.533134,0.709469,0.5,0.5
Guardian,2020-09-07T17:26:12Z,https://www.theguardian.com/business/2020/sep/07/morrisons-supermarket-chain-takes-on-thousands-of-new-staff,0, ,0.5,0.580176,0.5,0.597146,0.571469,0.5,0.5
Guardian,2020-09-08T13:55:54Z,https://www.theguardian.com/business/2020/sep/08/willie-walsh-pay-british-airways-owner-iag-shareholders-bonus,0, ,0.528521,0.5,0.5,0.611319,0.632535,0.5,0.5
Guardian,2020-09-08T16:51:18Z,https://www.theguardian.com/business/2020/sep/08/electric-bike-and-scooter-sales-boom-pushes-halford-back-to-growth-covid-19,0, ,0.5,0.5,0.603128,0.5,0.720783,0.5,0.5
Guardian,2020-09-11T11:52:33Z,https://www.theguardian.com/business/2020/sep/11/pizza-hut-to-close-29-restaurants-putting-450-jobs-at-risk,0, ,0.5,0.630289,0.5,0.5,0.536533,0.5,0.5
Guardian,2020-09-11T08:17:04Z,https://www.theguardian.com/business/2020/sep/11/uk-economy-covid-catchup-may-take-years-despite-signs-of-cheer-rishi-sunak,0, ,0.5,0.5,0.607332,0.533845,0.5,0.5,0.5
Guardian,2020-09-07T16:19:08Z,https://www.theguardian.com/business/2020/sep/07/no-going-back-to-pre-covid-times,0, ,0.5,0.521546,0.549783,0.5,0.5,0.5,0.504776
Guardian,2020-09-10T11:08:36Z,https://www.theguardian.com/business/2020/sep/10/rishi-sunak-urged-to-stump-up-15bn-to-create-1m-uk-jobs-covid-19,0, ,0.5,0.5,0.5,0.555318,0.640205,0.5,0.500268
