Week,Anger_max,Anger_med,Anger_avg,Anger_total,Sad_max,Sad_median,Sad_avg,Sad_total,Fear_max,Fear_med,Fear_avg,Fear_total,Joy_max,Joy_med,Joy_avg,Joy_total,Analy_max,Analy_med,Analy_avg,Analy_total,Confi_max,Confi_med,Confi_avg,Confi_total,Tenta_max,Tenta_med,Tenta_avg,Tenta_total
03.-01-03.-07,0.5,0.5,0.5,0.5,0.591321,0.5484169999999999,0.5518702222222223,4.966832,0.672632,0.5,0.57498,2.29992,0.579004,0.530547,0.549784,3.2987040000000003,0.801732,0.6690595,0.6497581,6.497581,0.5,0.5,0.5,0.5,0.814413,0.6403749999999999,0.6862137500000001,5.4897100000000005
03.-08-03.-14,0.5,0.5,0.5,0.5,0.624189,0.5672740000000001,0.5649558000000001,5.649558000000001,0.637059,0.502104,0.5506852,2.753426,0.609825,0.5195035,0.5473268333333333,3.283961,0.799168,0.5924485,0.66007925,5.280634,0.5,0.5,0.5,0.5,0.7941520000000001,0.6029074999999999,0.6656013333333334,3.993608
03.-15-03.-21,0.5,0.5,0.5,0.5,0.621057,0.5246964999999999,0.5449239,5.449239,0.6274649999999999,0.5,0.5799275,2.31971,0.580231,0.514293,0.5479956666666667,3.287974,0.834076,0.62955,0.6953512500000001,5.562810000000001,0.5,0.5,0.5,0.5,0.730133,0.5,0.68266625,2.730665
03.-22-03.-28,0.5,0.5,0.5,0.5,0.607487,0.5584060000000001,0.567061125,4.536489,0.626029,0.5,0.58850675,2.354027,0.6084069999999999,0.514065,0.5558023999999999,2.779012,0.840016,0.750149,0.7268665000000001,5.814932000000001,0.5,0.5,0.5,0.5,0.708734,0.531763,0.6199261999999999,3.0996309999999996
03.-29-04.-04,0.5,0.5,0.5,0.5,0.632984,0.5508234999999999,0.571732625,4.573861,0.635135,0.5,0.5692233333333333,1.70767,0.544416,0.50132,0.5277536,2.6387680000000002,0.815841,0.743024,0.7363244,7.363244,0.5,0.5,0.5,0.5,0.802389,0.546996,0.6956106,3.478053
04.-05-04.-11,0.5,0.5,0.5,0.5,0.5939270000000001,0.5271695000000001,0.5698876666666667,3.419326,0.636187,0.5,0.5780233333333333,1.73407,0.7501909999999999,0.5184469999999999,0.574023,4.592184,0.84795,0.7202500000000001,0.7182155,5.745724,0.5,0.5,0.5,0.5,0.791706,0.6360385,0.6932827142857142,4.8529789999999995
04.-12-04.-18,0.514998,0.5,0.514998,0.514998,0.667034,0.5802565,0.5897683,5.897683000000001,0.5597409999999999,0.5,0.5387163333333334,1.616149,0.55755,0.5076769999999999,0.5278851999999999,2.639426,0.777938,0.597498,0.6494668571428572,4.546268,0.5,0.5,0.5,0.5,0.811336,0.6234125,0.686847,4.807929
04.-19-04.-25,0.5128229999999999,0.5,0.5128229999999999,0.5128229999999999,0.594861,0.5476505,0.5518168999999999,5.518168999999999,0.60759,0.5,0.5549810000000001,1.664943,0.585989,0.544217,0.5557059999999999,4.445647999999999,0.874259,0.7379435000000001,0.7385165555555555,6.646649,0.5,0.5,0.5,0.5,0.587637,0.5,0.587637,0.587637
04.-26-05.-02,0.5,0.5,0.5,0.5,0.664686,0.5893505000000001,0.6041829999999999,4.833463999999999,0.54756,0.5,0.5377763333333333,1.613329,0.5613819999999999,0.5,0.5393709999999999,1.6181129999999997,0.8390049999999999,0.704658,0.7052224,7.052224000000001,0.5,0.5,0.5,0.5,0.8003520000000001,0.6035619999999999,0.7105786666666667,4.263472
05.-03-05.-09,0.5,0.5,0.5,0.5,0.59111,0.5535675,0.56129725,4.490378,0.59985,0.5001690000000001,0.5625972,2.812986,0.6051979999999999,0.5485025000000001,0.5508579,5.508579,0.7472489999999999,0.602867,0.6345655,5.076524,0.5,0.5,0.5,0.5,0.6109899999999999,0.5,0.58454175,2.338167
