Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-10-31T12:24:33Z,https://www.theguardian.com/politics/2020/oct/31/downing-street-launches-covid-lockdown-leak-inquiry,0, ,0.571701,0.5,0.517969,0.5,0.762657,0.5,0.5
Guardian,2020-10-29T09:51:37Z,https://www.theguardian.com/politics/2020/oct/29/national-lockdowns-should-be-backup-plan-on-covid-says-who-envoy,0, ,0.5,0.5,0.5,0.618492,0.614218,0.5,0.5
Guardian,2020-10-28T15:32:41Z,https://www.theguardian.com/politics/2020/oct/28/large-gatherings-could-be-banned-at-covid-christmas-uk-minister-admits,0, ,0.5,0.5,0.677901,0.529354,0.644164,0.5,0.5
Guardian,2020-10-25T14:08:58Z,https://www.theguardian.com/politics/2020/oct/25/scottish-tory-leader-dominic-cummings-resign-durham-douglas-ross,0, ,0.5,0.5,0.506032,0.567985,0.776851,0.5,0.704184
Guardian,2020-10-27T14:33:18Z,https://www.theguardian.com/politics/2020/oct/27/rebel-tory-power-base-aims-to-tackle-uk-north-south-divide,0, ,0.5,0.5,0.5,0.5,0.581737,0.5,0.547831
Guardian,2020-10-27T20:12:49Z,https://www.theguardian.com/politics/2020/oct/27/north-south-divide-could-be-our-undoing-says-tory-mp,0, ,0.5,0.5,0.5,0.5027,0.534756,0.5,0.5
Guardian,2020-10-30T18:30:29Z,https://www.theguardian.com/politics/2020/oct/30/dossier-alleges-cummings-may-have-perverted-course-of-justice-in-account-of-lockdown-trip,0, ,0.5,0.5,0.520569,0.5,0.611644,0.5,0.5
Guardian,2020-10-30T13:31:16Z,https://www.theguardian.com/politics/2020/oct/30/plant-inspectors-rising-prices-uk-garden-industry-brexit-shock,0, ,0.5,0.5,0.535687,0.578514,0.5,0.5,0.584603
Guardian,2020-10-26T10:26:57Z,https://www.theguardian.com/politics/2020/oct/26/our-brexit-future-come-january-it-looks-more-and-more-like-1980s-russia,0, ,0.5,0.5,0.564441,0.541185,0.5,0.5,0.818532
Guardian,2020-10-31T00:01:35Z,https://www.theguardian.com/politics/2020/oct/31/drive-less-or-face-post-lockdown-gridlock-uk-transport-experts-warn,0, ,0.5,0.5,0.5,0.570476,0.504586,0.5,0.666669
Guardian,2020-10-27T18:00:20Z,https://www.theguardian.com/politics/2020/oct/27/brexit-deal-hangs-in-the-balance-says-eu-council-president,0, ,0.5,0.5,0.5,0.54463,0.741579,0.5,0.5
Guardian,2020-10-29T18:44:23Z,https://www.theguardian.com/politics/2020/oct/29/antisemitism-report-opens-up-labours-fault-line-all-over-again,0, ,0.5,0.5,0.5,0.58022,0.735159,0.5,0.5
