Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-11-02T13:06:17Z,https://www.theguardian.com/commentisfree/2020/nov/02/europe-coronavirus-pandemic-lockdowns-infection-rates,0, ,0.5,0.5,0.514498,0.564629,0.702412,0.5,0.5
Guardian,2020-11-07T18:00:17Z,https://www.theguardian.com/commentisfree/2020/nov/07/tending-to-the-homeless-was-a-rare-covid-success-were-failing-again,0, ,0.5,0.5,0.533908,0.585603,0.555727,0.5,0.78468
Guardian,2020-11-02T16:49:13Z,https://www.theguardian.com/commentisfree/2020/nov/02/lockdown-2-england-public-health-track-and-trace-covid-pandemic,0, ,0.5,0.5,0.506312,0.535328,0.623232,0.5,0.5
Guardian,2020-11-07T08:00:06Z,https://www.theguardian.com/commentisfree/2020/nov/07/covid-liverpool-britain-inequality-poorer-regions,0, ,0.5,0.5,0.521404,0.566825,0.637919,0.5,0.738464
Guardian,2020-11-06T14:03:15Z,https://www.theguardian.com/commentisfree/2020/nov/06/rishi-sunak-furlough-u-turn-errors-lockdown,0, ,0.5,0.560479,0.527032,0.559573,0.793651,0.5,0.5
Guardian,2020-11-05T07:00:40Z,https://www.theguardian.com/commentisfree/2020/nov/05/lockdown-shops-hope-bookshop-manchester-shopping-locally-covid,0, ,0.5,0.5,0.561374,0.530186,0.62429,0.5,0.721982
Guardian,2020-11-01T15:07:46Z,https://www.theguardian.com/commentisfree/2020/nov/01/johnson-dithering-lockdown-scientists-covid,0, ,0.5,0.5,0.5,0.589403,0.5,0.5,0.5
Guardian,2020-11-01T14:19:17Z,https://www.theguardian.com/commentisfree/2020/nov/01/suppress-covid-england-lockdown-east-asian-african,0, ,0.5,0.612882,0.529945,0.591829,0.767062,0.5,0.5
Guardian,2020-11-01T19:01:48Z,https://www.theguardian.com/commentisfree/2020/nov/01/the-guardian-view-on-a-second-lockdown-what-took-him-so-long,0, ,0.5,0.5,0.5,0.614282,0.787496,0.5,0.5
Guardian,2020-11-03T17:12:13Z,https://www.theguardian.com/commentisfree/2020/nov/03/advice-schools-covid-infection-pupils-classrooms-test-and-trace,0, ,0.5,0.5,0.524328,0.535656,0.711763,0.5,0.558128
Guardian,2020-11-01T15:07:46Z,https://www.theguardian.com/commentisfree/2020/nov/01/johnson-dithering-lockdown-scientists-covid,0, ,0.5,0.5,0.5,0.589403,0.5,0.5,0.5
Guardian,2020-11-05T14:48:12Z,https://www.theguardian.com/commentisfree/2020/nov/05/biden-democrats-democratic-trump,0, ,0.5,0.5,0.5,0.606638,0.69224,0.5,0.5
Guardian,2020-11-03T07:00:49Z,https://www.theguardian.com/commentisfree/2020/nov/03/website-independent-bookshops-high-street,0, ,0.5,0.5,0.60815,0.621489,0.607585,0.5,0.5
Guardian,2020-11-06T18:20:10Z,https://www.theguardian.com/commentisfree/2020/nov/06/the-guardian-view-on-live-art-irreplaceable-energy,0, ,0.5,0.5,0.608341,0.5,0.619065,0.5,0.534339
Guardian,2020-11-04T19:41:15Z,https://www.theguardian.com/commentisfree/2020/nov/04/the-guardian-view-on-tory-lockdown-sceptics-a-dangerous-trend,0, ,0.5,0.5,0.5,0.529491,0.670508,0.5,0.5
Guardian,2020-11-03T18:42:36Z,https://www.theguardian.com/commentisfree/2020/nov/03/the-guardian-view-on-the-vienna-attack-refusing-division,0, ,0.539815,0.574306,0.5,0.5,0.54282,0.5,0.5
Guardian,2020-11-05T19:05:53Z,https://www.theguardian.com/commentisfree/2020/nov/05/the-guardian-view-on-the-new-lockdown-fewer-promises-better-performance-needed,0, ,0.5,0.5,0.503082,0.525791,0.695282,0.5,0.5
Guardian,2020-11-04T19:42:59Z,https://www.theguardian.com/commentisfree/2020/nov/04/the-guardian-view-on-the-us-elections-a-nation-dangerously-divided,0, ,0.5,0.510044,0.5,0.593998,0.5,0.5,0.5
Guardian,2020-11-01T06:15:12Z,https://www.theguardian.com/commentisfree/2020/nov/01/the-polls-may-have-got-it-wrong-in-2016-but-not-this-time-round-surely,0, ,0.5,0.5,0.529624,0.529636,0.75757,0.5,0.734899
Guardian,2020-11-01T08:30:15Z,https://www.theguardian.com/commentisfree/2020/nov/01/western-societies-have-failed-the-deadly-covid-test-they-must-learn-lessons-from-asia,0, ,0.5,0.5,0.563179,0.558715,0.593754,0.5,0.5
Guardian,2020-11-03T16:48:57Z,https://www.theguardian.com/commentisfree/2020/nov/03/trump-johnson-leaders-celebrity-politicians-pandemic-politics,0, ,0.5,0.5,0.584373,0.525943,0.521221,0.5,0.5
Guardian,2020-11-06T17:55:30Z,https://www.theguardian.com/commentisfree/2020/nov/06/donald-trump-joe-biden-popular-vote-electoral-college,0, ,0.5,0.5,0.5,0.59147,0.567424,0.5,0.615997
Guardian,2020-11-05T17:41:17Z,https://www.theguardian.com/commentisfree/2020/nov/05/biden-presidency-face-obstruction-election,0, ,0.5,0.5,0.515097,0.540699,0.657857,0.5,0.5
