Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-04-12T05:30:34Z,https://www.theguardian.com/commentisfree/2020/apr/12/the-unseen-victims-of-coronavirus-letters,0, ,0.5,0.5,0.521896,0.552717,0.614837,0.5,0.5
Guardian,2020-04-17T06:00:06Z,https://www.theguardian.com/commentisfree/2020/apr/17/coronavirus-discriminate-humans-racism-sexism-inequality,0, ,0.5,0.559741,0.5,0.618124,0.59736,0.5,0.811336
Guardian,2020-04-16T11:45:34Z,https://www.theguardian.com/commentisfree/2020/apr/16/india-targeting-dissidents-coronavirus-pandemic,0, ,0.514998,0.5,0.5,0.544412,0.597636,0.5,0.5
Guardian,2020-04-18T19:00:16Z,https://www.theguardian.com/commentisfree/2020/apr/18/coronavirus-knows-no-international-borders-neither-must-its-eventual-cure,0, ,0.5,0.545693,0.572624,0.564504,0.697147,0.5,0.5
Guardian,2020-04-17T12:40:23Z,https://www.theguardian.com/commentisfree/2020/apr/17/carers-badges-ageism-britain,0, ,0.5,0.538977,0.5,0.648246,0.731745,0.5,0.620386
Guardian,2020-04-15T17:09:42Z,https://www.theguardian.com/commentisfree/2020/apr/15/will-coronavirus-shock-the-global-economy-into-long-term-thinking-,0, ,0.5,0.5,0.515354,0.573686,0.777938,0.5,0.700995
Guardian,2020-04-15T06:00:37Z,https://www.theguardian.com/commentisfree/2020/apr/15/from-covidiot-to-doomscrolling-how-coronavirus-is-changing-our-language,0, ,0.5,0.5,0.516851,0.667034,0.5,0.5,0.641149
Guardian,2020-04-12T17:25:49Z,https://www.theguardian.com/commentisfree/2020/apr/12/the-guardian-view-on-the-climate-and-coronavirus-global-warnings,0, ,0.5,0.5,0.5,0.586827,0.672435,0.5,0.5
Guardian,2020-04-12T12:46:20Z,https://www.theguardian.com/commentisfree/2020/apr/12/uk-coronavirus-deaths-preventable-government-account,0, ,0.5,0.604536,0.5,0.669076,0.693157,0.5,0.5
Guardian,2020-04-16T05:00:34Z,https://www.theguardian.com/commentisfree/2020/apr/16/after-coronavirus-boris-johnsons-tories-will-be-a-very-different-party,0, ,0.5,0.5,0.541668,0.53161,0.686972,0.5,0.5
Guardian,2020-04-15T18:25:03Z,https://www.theguardian.com/commentisfree/2020/apr/15/the-guardian-view-on-the-who-and-coronavirus-trumps-blame-game,0, ,0.5,0.5,0.5,0.527068,0.750949,0.5,0.5
Guardian,2020-04-17T08:00:08Z,https://www.theguardian.com/commentisfree/2020/apr/17/coronavirus-finances-personal-debt-out-of-control,0, ,0.5,0.5,0.553238,0.569861,0.584315,0.5,0.776172
Guardian,2020-04-16T13:28:11Z,https://www.theguardian.com/commentisfree/2020/apr/16/nationalist-right-fear-coronavirus-infection-pandemic,0, ,0.5,0.631758,0.5,0.5,0.703923,0.5,0.5
Guardian,2020-04-15T08:00:39Z,https://www.theguardian.com/commentisfree/2020/apr/15/britain-coronavirus-crisis-inequality-hungry-domestic-violence,0, ,0.5,0.5,0.5,0.618165,0.736921,0.5,0.747637
Guardian,2020-04-18T11:00:07Z,https://www.theguardian.com/commentisfree/2020/apr/18/history-fairer-society-coronavirus-workers-black-death-spanish-flu,0, ,0.5,0.5,0.593026,0.554549,0.690083,0.5,0.581754
Guardian,2020-04-18T09:00:05Z,https://www.theguardian.com/commentisfree/2020/apr/18/africans-coronavirus-injustices-aids-big-pharma,0, ,0.5,0.598595,0.511193,0.600474,0.65368,0.5,0.5
Guardian,2020-04-15T06:00:37Z,https://www.theguardian.com/commentisfree/2020/apr/15/mass-electronic-surveillance-uk-app-lockdown-download,0, ,0.5,0.555165,0.509967,0.535791,0.793464,0.5,0.853043
Guardian,2020-04-12T09:00:39Z,https://www.theguardian.com/commentisfree/2020/apr/12/coronavirus-stress-lockdown-dreams-vivid-scientists,0, ,0.5,0.600656,0.524254,0.531925,0.694522,0.5,0.738528
Guardian,2020-04-13T11:00:10Z,https://www.theguardian.com/commentisfree/2020/apr/13/abortion-northern-ireland-coronavirus-women-stormont-rights,0, ,0.5,0.5,0.5,0.5655,0.553219,0.5,0.5
Guardian,2020-04-13T07:00:06Z,https://www.theguardian.com/commentisfree/2020/apr/13/britain-coronavirus-bailout-rich-,0, ,0.5,0.5,0.5,0.553266,0.774075,0.5,0.5
Guardian,2020-04-12T09:00:39Z,https://www.theguardian.com/commentisfree/2020/apr/12/coronavirus-stress-lockdown-dreams-vivid-scientists,0, ,0.5,0.600656,0.524254,0.531925,0.694522,0.5,0.738528
Guardian,2020-04-12T13:00:44Z,https://www.theguardian.com/commentisfree/2020/apr/12/working-from-home-history-coronavirus-uk-lockdown,0, ,0.5,0.5,0.568542,0.5,0.760251,0.5,0.577892
Guardian,2020-04-18T17:30:15Z,https://www.theguardian.com/commentisfree/2020/apr/18/beware-a-new-wave-of-populism-born-out-of-coronavirus-induced-economic-inequity,0, ,0.5,0.5,0.564084,0.5,0.710457,0.5,0.5
Guardian,2020-04-15T14:46:26Z,https://www.theguardian.com/commentisfree/2020/apr/15/tech-coronavirus-surveilance-state-digital-disrupt,0, ,0.5,0.5,0.544698,0.548247,0.855292,0.5,0.5
Guardian,2020-04-17T11:59:32Z,https://www.theguardian.com/commentisfree/2020/apr/17/amazon-coronavirus-public-utility-workers,0, ,0.5,0.5,0.555704,0.536735,0.795137,0.5,0.692094
Guardian,2020-04-16T11:32:08Z,https://www.theguardian.com/world/commentisfree/2020/apr/16/coronavirus-30000-americans-trump-blame-who,0, ,0.5,0.5,0.515326,0.580578,0.730075,0.5,0.591854
Guardian,2020-04-13T05:00:03Z,https://www.theguardian.com/commentisfree/2020/apr/13/protective-equipment-nhs-staff-coronavirus-frontline-shortages,0, ,0.5,0.5,0.514021,0.5,0.748908,0.5,0.5
Guardian,2020-04-17T07:00:07Z,https://www.theguardian.com/commentisfree/2020/apr/17/coronavirus-crisis-britain-young-people-future-bill,0, ,0.5,0.5,0.596511,0.62584,0.660746,0.5,0.5
Guardian,2020-04-15T11:55:40Z,https://www.theguardian.com/commentisfree/2020/apr/15/coronavirus-treatment-drug-companies,0, ,0.5,0.5,0.549319,0.550088,0.74807,0.5,0.5
Guardian,2020-04-14T10:43:38Z,https://www.theguardian.com/commentisfree/2020/apr/14/coronavirus-uk-ireland-delay,0, ,0.5,0.5,0.540217,0.585002,0.74895,0.5,0.5
Guardian,2020-04-14T07:00:34Z,https://www.theguardian.com/commentisfree/2020/apr/14/coronavirus-restaurants-pandemic-workers-communities-prices,0, ,0.5,0.515975,0.545796,0.547693,0.715119,0.5,0.64746
Guardian,2020-04-13T05:00:03Z,https://www.theguardian.com/commentisfree/2020/apr/13/protective-equipment-nhs-staff-coronavirus-frontline-shortages,0, ,0.5,0.5,0.514021,0.5,0.748908,0.5,0.5
Guardian,2020-04-14T05:00:32Z,https://www.theguardian.com/commentisfree/2020/apr/14/coronavirus-social-care-crisis-andy-burnham-nhs,0, ,0.5,0.560901,0.515149,0.643226,0.5,0.5,0.662228
Guardian,2020-04-12T05:00:34Z,https://www.theguardian.com/commentisfree/2020/apr/12/the-observer-view-on-the-coronavirus-crisis-stay-at-home-this-easter,0, ,0.5,0.500864,0.557998,0.616704,0.67527,0.5,0.5
Guardian,2020-04-16T07:00:00Z,https://www.theguardian.com/commentisfree/2020/apr/16/number-coronavirus-pandemic,0, ,0.5,0.5,0.538203,0.506669,0.6334,0.5,0.656351
Guardian,2020-04-13T15:37:37Z,https://www.theguardian.com/commentisfree/2020/apr/13/people-work-lockdown-herd-immunity-debate-coronavirus,0, ,0.5,0.5,0.5,0.565166,0.780188,0.5,0.654372
Guardian,2020-04-17T15:42:53Z,https://www.theguardian.com/commentisfree/2020/apr/17/lets-dust-down-the-archive-descriptions,0, ,0.5,0.5,0.581725,0.5,0.5,0.5,0.593934
Guardian,2020-04-16T15:54:58Z,https://www.theguardian.com/commentisfree/2020/apr/16/boris-broth-lockdown-charity-coronavirus-uk,0, ,0.5,0.5,0.635071,0.547651,0.5,0.5,0.5
Guardian,2020-04-17T14:30:41Z,https://www.theguardian.com/commentisfree/2020/apr/17/laid-off-pick-fruit-seasonal-workers-special-skills,0, ,0.5,0.5,0.538779,0.60667,0.633976,0.5,0.5
Guardian,2020-04-13T13:00:13Z,https://www.theguardian.com/commentisfree/2020/apr/13/leaders-trump-bolsonaro-coroanvirus-toxic-masculinity,0, ,0.5,0.51229,0.50659,0.501807,0.741268,0.5,0.5
Guardian,2020-04-12T11:00:41Z,https://www.theguardian.com/commentisfree/2020/apr/12/inequality-pandemic-lockdown,0, ,0.5,0.5,0.537138,0.561961,0.682792,0.5,0.506761
Guardian,2020-04-12T17:05:22Z,https://www.theguardian.com/commentisfree/2020/apr/12/hot-and-cross-about-lack-of-flour-for-buns,0, ,0.5,0.5,0.640656,0.5,0.5,0.5,0.5
Guardian,2020-04-17T14:30:41Z,https://www.theguardian.com/commentisfree/2020/apr/17/laid-off-pick-fruit-seasonal-workers-special-skills,0, ,0.5,0.5,0.538779,0.60667,0.633976,0.5,0.5
Guardian,2020-04-18T13:00:09Z,https://www.theguardian.com/commentisfree/2020/apr/18/trump-performances-terrifying-unhinged,0, ,0.5,0.540508,0.51015,0.543863,0.5,0.5,0.5
Guardian,2020-04-17T14:36:10Z,https://www.theguardian.com/commentisfree/2020/apr/17/matt-hancock-dominic-raab-ppe-care-badges,0, ,0.5,0.5,0.555982,0.537879,0.5,0.5,0.626001
Guardian,2020-04-16T18:04:46Z,https://www.theguardian.com/commentisfree/2020/apr/16/the-guardian-view-on-extending-the-lockdown-right-call-but-what-next,0, ,0.5,0.5,0.5,0.517945,0.810283,0.5,0.810583
Guardian,2020-04-14T11:40:39Z,https://www.theguardian.com/commentisfree/2020/apr/14/trump-cant-cancel-the-election-but-he-will-try-to-stop-people-voting,0, ,0.5,0.5,0.5,0.569041,0.806415,0.5,0.5
Guardian,2020-04-15T10:43:55Z,https://www.theguardian.com/commentisfree/2020/apr/15/uk-government-coronavirus-science-who-advice,0, ,0.5,0.5,0.523775,0.567828,0.745803,0.5,0.5
Guardian,2020-04-12T08:00:37Z,https://www.theguardian.com/commentisfree/2020/apr/12/theres-danger-in-dreaming-that-there-is-a-quick-and-easy-escape-from-lockdown,0, ,0.5,0.551847,0.510329,0.546272,0.739054,0.5,0.613272
Guardian,2020-04-12T17:30:49Z,https://www.theguardian.com/commentisfree/2020/apr/12/the-guardian-view-on-labours-task-reading-the-signs-of-the-times,0, ,0.5,0.5,0.562847,0.532627,0.822514,0.5,0.5
Guardian,2020-04-16T18:00:26Z,https://www.theguardian.com/commentisfree/2020/apr/16/the-guardian-view-on-a-covid-19-fighting-force-your-country-needs-you,0, ,0.5,0.5,0.5,0.5,0.612032,0.5,0.5
Guardian,2020-04-17T11:00:11Z,https://www.theguardian.com/commentisfree/2020/apr/17/hs2-white-elephant-coronavirus-recession-conservatives,0, ,0.5,0.5,0.526385,0.580716,0.627121,0.5,0.5
Guardian,2020-04-17T09:00:10Z,https://www.theguardian.com/commentisfree/2020/apr/17/lockdown-women-working-mothers-coronavirus-home-working,0, ,0.5,0.531474,0.549286,0.600469,0.634809,0.5,0.67738
Guardian,2020-04-12T08:30:38Z,https://www.theguardian.com/commentisfree/2020/apr/12/yes-expect-more-surveillance-during-a-crisis-but-beware-it-once-the-danger-has-passed,0, ,0.5,0.5,0.5,0.5,0.763527,0.5,0.544207
