Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-04-04T08:00:53Z,https://www.theguardian.com/commentisfree/2020/apr/04/coronavirus-boundaries-fight-global-shared-threats,0, ,0.5,0.5,0.5,0.61424,0.749827,0.5,0.5
Guardian,2020-03-31T09:00:48Z,https://www.theguardian.com/commentisfree/2020/mar/31/us-china-coronavirus-diplomacy,0, ,0.5,0.5,0.5,0.515025,0.736221,0.5,0.593992
Guardian,2020-04-03T17:30:36Z,https://www.theguardian.com/commentisfree/2020/apr/03/the-guardian-view-on-trump-and-coronavirus-endangering-american-lives,0, ,0.5,0.532959,0.5,0.586029,0.686802,0.5,0.5
Guardian,2020-04-02T05:00:41Z,https://www.theguardian.com/commentisfree/2020/apr/02/government-publish-data-coronavirus-deaths,0, ,0.5,0.5,0.539954,0.532424,0.763567,0.5,0.665425
Guardian,2020-04-01T16:09:41Z,https://www.theguardian.com/commentisfree/2020/apr/01/policing-under-coronavirus-the-real-test-is-yet-to-come,0, ,0.5,0.5,0.536127,0.5,0.773166,0.5,0.70762
Guardian,2020-03-30T14:12:33Z,https://www.theguardian.com/commentisfree/2020/mar/30/jails-coronavirus-us-rikers-island,0, ,0.5,0.528822,0.5,0.619933,0.673733,0.5,0.584949
Guardian,2020-03-30T17:42:20Z,https://www.theguardian.com/commentisfree/2020/mar/30/the-guardian-view-on-coronavirus-policing-not-a-shame-game,0, ,0.5,0.5,0.5,0.550427,0.815841,0.5,0.802389
Guardian,2020-03-29T11:56:09Z,https://www.theguardian.com/commentisfree/2020/mar/29/coronavirus-means-we-really-are-finally-all-in-this-together,0, ,0.5,0.5,0.5,0.579224,0.6774,0.5,0.698328
Guardian,2020-03-29T16:44:28Z,https://www.theguardian.com/commentisfree/2020/mar/29/the-guardian-view-on-hungarys-coronavirus-law-orbans-power-grab,0, ,0.5,0.5,0.5,0.5,0.660659,0.5,0.5
Guardian,2020-03-29T05:00:45Z,https://www.theguardian.com/commentisfree/2020/mar/29/the-observer-view-on-government-failure-in-the-coronavirus-crisis,0, ,0.5,0.5,0.515631,0.632984,0.719044,0.5,0.5
Guardian,2020-03-29T11:56:09Z,https://www.theguardian.com/commentisfree/2020/mar/29/coronavirus-means-we-really-are-finally-all-in-this-together,0, ,0.5,0.5,0.5,0.579224,0.6774,0.5,0.698328
Guardian,2020-03-29T13:00:55Z,https://www.theguardian.com/commentisfree/2020/mar/29/coronavirus-reality-work-unemployment,0, ,0.5,0.635135,0.544416,0.591512,0.66533,0.5,0.708627
Guardian,2020-04-02T13:06:50Z,https://www.theguardian.com/commentisfree/2020/apr/02/is-keir-starmer-failing-call-out-government-coronavirus,0, ,0.5,0.531125,0.535616,0.570891,0.804964,0.5,0.752292
Guardian,2020-03-30T16:29:18Z,https://www.theguardian.com/commentisfree/2020/mar/30/how-can-you-feel-safe-amid-coronavirus-swap-mindfulness-for-mindlessness,0, ,0.5,0.5,0.530054,0.5,0.661546,0.5,0.5
Guardian,2020-03-30T15:26:47Z,https://www.theguardian.com/commentisfree/2020/mar/30/hostile-environment-covonavirus-crisis-britain-migrants,0, ,0.5,0.603347,0.5,0.528598,0.682914,0.5,0.622561
Guardian,2020-04-03T14:07:56Z,https://www.theguardian.com/commentisfree/2020/apr/03/coronavirus-universal-credit-lockdown-claimants,0, ,0.5,0.5,0.507576,0.564167,0.598408,0.5,0.783605
Guardian,2020-04-03T10:18:16Z,https://www.theguardian.com/commentisfree/2020/apr/03/jared-kushner-coronavirus-pandemic,0, ,0.5,0.5,0.5,0.587217,0.5,0.5,0.5
Guardian,2020-04-02T14:21:29Z,https://www.theguardian.com/commentisfree/2020/apr/02/brazil-message-world-our-president-wrong-coronavirus-jair-bolsonaro,0, ,0.5,0.5,0.5,0.549415,0.601379,0.5,0.5
Guardian,2020-04-01T08:00:16Z,https://www.theguardian.com/commentisfree/2020/apr/01/why-uk-coronavirus-testing-work-catchup,0, ,0.5,0.5,0.568641,0.512521,0.720412,0.5,0.748963
Guardian,2020-03-30T09:35:50Z,https://www.theguardian.com/commentisfree/2020/mar/30/england-public-health-coronavirus-cuts-regional,0, ,0.5,0.5,0.549529,0.580685,0.738521,0.5,0.5
Guardian,2020-04-03T11:54:10Z,https://www.theguardian.com/commentisfree/2020/apr/03/face-masks-coronavirus-scientists-evidence-covid-19-public,0, ,0.5,0.5,0.536653,0.542378,0.845633,0.5,0.717525
Guardian,2020-04-03T08:00:14Z,https://www.theguardian.com/commentisfree/2020/apr/03/coronavirus-economic-crisis-financial-impact,0, ,0.5,0.5,0.5,0.5,0.569362,0.5,0.598078
Guardian,2020-04-01T09:00:17Z,https://www.theguardian.com/commentisfree/2020/apr/01/populist-right-coronavirus,0, ,0.5,0.555952,0.5,0.516035,0.775681,0.5,0.5
Guardian,2020-04-03T16:32:45Z,https://www.theguardian.com/commentisfree/2020/apr/03/comfort-ship-new-york-coronavirus-failure-symbol,0, ,0.5,0.5,0.52422,0.631176,0.587443,0.5,0.568069
Guardian,2020-03-31T15:00:55Z,https://www.theguardian.com/commentisfree/2020/mar/31/young-people-have-paid-enough-spare-them-from-footing-the-coronavirus-bill,0, ,0.5,0.5,0.5,0.629395,0.688239,0.5,0.690815
Guardian,2020-03-31T12:47:25Z,https://www.theguardian.com/commentisfree/2020/mar/31/coronavirus-has-tainted-city-life-now-i-long-for-nature-and-community,0, ,0.5,0.524865,0.55747,0.531236,0.588099,0.5,0.5
Guardian,2020-04-03T13:17:35Z,https://www.theguardian.com/commentisfree/2020/apr/03/coronavirus-crisis-new-society,0, ,0.5,0.608348,0.5,0.533323,0.735546,0.5,0.5
Guardian,2020-03-30T14:00:05Z,https://www.theguardian.com/commentisfree/2020/mar/30/fake-news-coronavirus-false-information,0, ,0.5,0.528405,0.564944,0.573404,0.802794,0.5,0.821266
Guardian,2020-03-29T10:07:35Z,https://www.theguardian.com/commentisfree/2020/mar/29/bankers-trump-economy-coronavirus-deaths,0, ,0.635213,0.5,0.5,0.628893,0.5,0.5,0.725339
Guardian,2020-04-01T05:00:12Z,https://www.theguardian.com/commentisfree/2020/apr/01/coronavirus-crisis-brexit-brexiteers,0, ,0.5,0.5,0.5,0.5618,0.811101,0.5,0.5
Guardian,2020-04-01T05:00:12Z,https://www.theguardian.com/commentisfree/2020/apr/01/coronavirus-crisis-brexit-brexiteers,0, ,0.5,0.5,0.5,0.5618,0.811101,0.5,0.5
Guardian,2020-04-02T09:00:46Z,https://www.theguardian.com/commentisfree/2020/apr/02/coronavirus-vaccine-big-pharma-data,0, ,0.5,0.5,0.565341,0.510921,0.735419,0.5,0.5
Guardian,2020-03-31T05:00:44Z,https://www.theguardian.com/commentisfree/2020/mar/31/bailouts-coronavirus-state-aid,0, ,0.5,0.5,0.513257,0.5,0.626623,0.5,0.5
Guardian,2020-03-29T10:00:51Z,https://www.theguardian.com/commentisfree/2020/mar/29/state-control-womens-bodies-covid-19-crisis,0, ,0.5,0.589854,0.509464,0.527379,0.715834,0.5,0.677203
Guardian,2020-04-02T11:17:04Z,https://www.theguardian.com/commentisfree/2020/apr/02/wrong-coronavirus-world-scientists-optimism-experts,0, ,0.5,0.5,0.5,0.63846,0.627495,0.5,0.64761
Guardian,2020-03-31T11:37:16Z,https://www.theguardian.com/commentisfree/2020/mar/31/the-coronavirus-crisis-has-exposed-the-ugly-truth-about-celebrity-culture-and-capitalism,0, ,0.5,0.5,0.549573,0.574543,0.5,0.5,0.5
Guardian,2020-04-02T11:58:32Z,https://www.theguardian.com/commentisfree/2020/apr/02/un-secretary-general-coronavirus-crisis-world-pandemic-response,0, ,0.5,0.5,0.513875,0.547435,0.574317,0.5,0.5
Guardian,2020-04-01T15:41:26Z,https://www.theguardian.com/commentisfree/2020/apr/01/public-inquiry-coronavirus-mass-testing-pandemic,0, ,0.5,0.5,0.530695,0.533477,0.73096,0.5,0.5
Guardian,2020-03-30T02:32:17Z,https://www.theguardian.com/commentisfree/2020/mar/30/if-coronavirus-forces-childcare-services-to-close-for-good-parents-will-be-left-stranded,0, ,0.5,0.5,0.519427,0.592712,0.5,0.5,0.5
Guardian,2020-03-30T16:30:28Z,https://www.theguardian.com/commentisfree/2020/mar/31/helping-in-my-parents-regional-shop-ive-seen-the-difference-a-week-makes-under-coronavirus,0, ,0.5,0.629775,0.550775,0.514932,0.5,0.5,0.5
Guardian,2020-03-30T16:30:28Z,https://www.theguardian.com/commentisfree/2020/mar/31/helping-in-my-parents-regional-shop-ive-seen-the-difference-a-week-makes-under-coronavirus,0, ,0.5,0.629775,0.550775,0.514932,0.5,0.5,0.5
Guardian,2020-04-03T14:16:57Z,https://www.theguardian.com/commentisfree/2020/apr/03/raheem-sterling-coronavirus-matt-hancock-premier-league-footballers,0, ,0.5,0.5,0.540224,0.517615,0.5,0.5,0.647781
Guardian,2020-04-02T23:26:18Z,https://www.theguardian.com/commentisfree/2020/apr/03/parliament-sat-during-world-war-two-and-spanish-flu-morrison-should-not-be-cancelling-it-for-coronavirus,0, ,0.5,0.5,0.5,0.531598,0.808648,0.5,0.5
Guardian,2020-04-03T19:00:37Z,https://www.theguardian.com/commentisfree/2020/apr/04/australia-can-be-a-better-fairer-place-after-the-coronavirus-if-were-willing-to-fight-for-it,0, ,0.5,0.5,0.545484,0.559607,0.767763,0.5,0.5
Guardian,2020-04-02T10:00:47Z,https://www.theguardian.com/commentisfree/2020/apr/02/after-coronavirus-left-cure-social-ills,0, ,0.5,0.539647,0.506455,0.579543,0.679838,0.5,0.5
Guardian,2020-03-29T05:00:45Z,https://www.theguardian.com/commentisfree/2020/mar/29/the-observer-view-importance-of-national-unity-coronavirus,0, ,0.5,0.620488,0.576943,0.523455,0.5,0.5,0.5
Guardian,2020-03-29T06:30:47Z,https://www.theguardian.com/commentisfree/2020/mar/29/coronavirus-uganda-used-to-lockdowns-poor-healthcare-but-we-are-terrified,0, ,0.5,0.5,0.5,0.590106,0.552097,0.5,0.5
Guardian,2020-03-30T13:53:05Z,https://www.theguardian.com/commentisfree/2020/mar/30/coronavirus-crisis-austerity-politics-boris-johnson,0, ,0.5,0.5,0.528024,0.598119,0.5,0.5,0.5
Guardian,2020-03-31T18:30:04Z,https://www.theguardian.com/commentisfree/2020/mar/31/the-guardian-view-on-jair-bolsonaro-a-danger-to-brazilians,0, ,0.517561,0.540534,0.5,0.532202,0.682215,0.5,0.613914
Guardian,2020-03-30T05:00:14Z,https://www.theguardian.com/world/commentisfree/2020/mar/30/lockdown-china-coronavirus-outbreak,0, ,0.5,0.54104,0.5,0.548855,0.596606,0.5,0.689326
Guardian,2020-03-29T05:59:46Z,https://www.theguardian.com/commentisfree/2020/mar/29/letters-collective-solution-to-covid-19-and-climate-change,0, ,0.5,0.5,0.539076,0.5,0.721413,0.5,0.5
Guardian,2020-03-30T14:53:55Z,https://www.theguardian.com/commentisfree/2020/mar/30/papers-that-rub-me-up-the-wrong-way,0, ,0.5,0.5,0.51528,0.545558,0.5,0.5,0.537725
Guardian,2020-03-30T06:00:16Z,https://www.theguardian.com/commentisfree/2020/mar/30/coronavirus-crisis-tories-cuts,0, ,0.5,0.5,0.5,0.549553,0.541648,0.5,0.5
Guardian,2020-04-01T06:30:14Z,https://www.theguardian.com/commentisfree/2020/apr/01/britain-bali-planes-coronavirus-stranded-repatriated,0, ,0.5,0.5,0.5,0.5,0.568,0.5,0.5
Guardian,2020-03-31T07:00:46Z,https://www.theguardian.com/commentisfree/2020/mar/31/isolated-older-person-underlying-conditions-coronavirus-crisis,0, ,0.5,0.554598,0.5832,0.581129,0.608893,0.5,0.687914
Guardian,2020-03-30T13:41:02Z,https://www.theguardian.com/commentisfree/2020/mar/30/abusive-partner-lockdown-domestic-abuse-charities-women-home,0, ,0.5,0.5,0.534729,0.596451,0.674999,0.5,0.654708
Guardian,2020-04-04T10:00:20Z,https://www.theguardian.com/commentisfree/2020/apr/04/keir-starmer-labour-tories-coronavirus-crisis,0, ,0.5,0.5,0.541139,0.570474,0.630283,0.5,0.5
Guardian,2020-03-29T17:47:21Z,https://www.theguardian.com/commentisfree/2020/mar/29/how-will-we-care-for-the-dying-when-hospitals-are-stretched-beyond-capacity,0, ,0.5,0.5,0.5,0.707717,0.5,0.5,0.5
Guardian,2020-03-29T13:34:05Z,https://www.theguardian.com/world/commentisfree/2020/mar/29/india-lockdown-tragedy-healthcare-coronavirus-starvation-mumbai,0, ,0.5,0.5,0.5,0.563339,0.63415,0.5,0.5
Guardian,2020-04-04T12:00:00Z,https://www.theguardian.com/commentisfree/2020/apr/04/tories-protect-nhs-coronavirus-slogan,0, ,0.5,0.5,0.572855,0.520414,0.712192,0.5,0.5
Guardian,2020-03-29T16:48:23Z,https://www.theguardian.com/commentisfree/2020/mar/29/the-guardian-view-on-covid-19-and-politics-institutionally-vulnerable,0, ,0.5,0.5,0.504556,0.545968,0.666659,0.5,0.5
Guardian,2020-04-04T14:05:00Z,https://www.theguardian.com/commentisfree/2020/apr/04/using-the-virus-to-bash-beijing-could-trigger-a-new-cold-war,0, ,0.5,0.5,0.5,0.515214,0.774293,0.5,0.5
Guardian,2020-04-03T13:16:18Z,https://www.theguardian.com/commentisfree/2020/apr/03/nhs-staff-protection-doctor-ppe-coronavirus,0, ,0.5,0.5,0.5,0.560646,0.654236,0.5,0.551599
Guardian,2020-04-03T06:00:12Z,https://www.theguardian.com/commentisfree/2020/apr/03/week-three-isolation-kids,0, ,0.5,0.5,0.555322,0.5,0.5,0.5,0.5
Guardian,2020-04-01T13:08:26Z,https://www.theguardian.com/commentisfree/2020/apr/01/doctors-choose-life-saving-treatment-ethical-rules,0, ,0.5,0.5,0.520915,0.527151,0.832969,0.5,0.693249
Guardian,2020-04-02T07:00:43Z,https://www.theguardian.com/commentisfree/2020/apr/02/terminal-cancer-lockdown-death,0, ,0.5,0.5,0.554365,0.61116,0.588665,0.5,0.694615
Guardian,2020-04-03T15:00:22Z,https://www.theguardian.com/commentisfree/2020/apr/03/recession-depression-data-coronavirus,0, ,0.5,0.527016,0.5,0.615215,0.609205,0.5,0.535153
Guardian,2020-04-02T18:40:23Z,https://www.theguardian.com/commentisfree/2020/apr/02/the-guardian-view-on-the-uks-testing-failure-much-to-learn-from-germany,0, ,0.5,0.5,0.55603,0.5,0.662056,0.5,0.5
Guardian,2020-03-29T08:00:49Z,https://www.theguardian.com/commentisfree/2020/mar/29/coronavirus-fears-rediscover-utopian-hopes-connected-world,0, ,0.5,0.5,0.591161,0.537655,0.549601,0.5,0.746661
Guardian,2020-04-01T14:33:42Z,https://www.theguardian.com/commentisfree/2020/apr/01/lockdown-buys-time-virus-mass-testing-coronavirus-uk,0, ,0.5,0.5,0.521878,0.547102,0.782949,0.5,0.5
