Week,Anger_max,Anger_med,Anger_avg,Anger_total,Anger_ratio,Sad_max,Sad_median,Sad_avg,Sad_total,Sad_ratio,Fear_max,Fear_med,Fear_avg,Fear_total,Fear_ratio,Joy_max,Joy_med,Joy_avg,Joy_total,Joy_ratio,Analy_max,Analy_med,Analy_avg,Analy_total,Analy_ratio,Confi_max,Confi_med,Confi_avg,Confi_total,Confi_ratio,Tenta_max,Tenta_med,Tenta_avg,Tenta_total,Tenta_ratio
08.16-08.22,0.5,0.5,0.5,0.5,0.0,0.606528,0.5569679999999999,0.5569679999999999,1.1139359999999998,1.0,0.5,0.5,0.5,0.5,0.0,0.578063,0.5390315,0.578063,0.578063,0.5,0.669276,0.584638,0.669276,0.669276,0.5,0.5,0.5,0.5,0.5,0.0,0.686117,0.5930584999999999,0.686117,0.686117,0.5
08.23-08.29,0.5,0.5,0.5,0.5,0.0,0.557768,0.557768,0.557768,0.557768,1.0,0.66025,0.66025,0.66025,0.66025,1.0,0.5,0.5,0.5,0.5,0.0,0.895281,0.895281,0.895281,0.895281,1.0,0.5,0.5,0.5,0.5,0.0,0.755346,0.755346,0.755346,0.755346,1.0
08.30-09.05,0.5,0.5,0.5,0.5,0.0,0.630076,0.6006549999999999,0.6006549999999999,1.2013099999999999,1.0,0.5,0.5,0.5,0.5,0.0,0.526349,0.5131745,0.526349,0.526349,0.5,0.831148,0.748788,0.748788,1.497576,1.0,0.5,0.5,0.5,0.5,0.0,0.60858,0.55429,0.60858,0.60858,0.5
09.06-09.12,0.5,0.5,0.5,0.5,0.0,0.593144,0.574267,0.574267,1.148534,1.0,0.568469,0.5342345,0.568469,0.568469,0.5,0.5,0.5,0.5,0.5,0.0,0.866143,0.7719325,0.7719325,1.543865,1.0,0.5,0.5,0.5,0.5,0.0,0.73912,0.7326305,0.7326305,1.465261,1.0
09.13-09.19,0.5,0.5,0.5,0.5,0.0,0.614242,0.5683395,0.5683395,1.136679,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5687800000000001,0.53439,0.5687800000000001,0.5687800000000001,0.5
09.20-09.26,0.5,0.5,0.5,0.5,0.0,0.582965,0.582361,0.5716133333333333,1.71484,1.0,0.569926,0.522678,0.5463020000000001,1.0926040000000001,0.6666666666666666,0.5750930000000001,0.5072800000000001,0.5411865,1.082373,0.6666666666666666,0.8262280000000001,0.8034819999999999,0.7850983333333333,2.355295,1.0,0.5,0.5,0.5,0.5,0.0,0.7607550000000001,0.541003,0.650879,1.301758,0.6666666666666666
09.27-10.03,0.5,0.5,0.5,0.5,0.0,0.602899,0.592368,0.59267875,2.370715,1.0,0.5,0.5,0.5,0.5,0.0,0.6240640000000001,0.5557195,0.578501,1.735503,0.75,0.857456,0.7698119999999999,0.74090425,2.963617,1.0,0.5,0.5,0.5,0.5,0.0,0.735978,0.6767255,0.6964763333333334,2.089429,0.75
10.04-10.10,0.5,0.5,0.5,0.5,0.0,0.600225,0.5665105,0.5665105,1.133021,1.0,0.585745,0.5428725,0.585745,0.585745,0.5,0.531087,0.5155434999999999,0.531087,0.531087,0.5,0.873476,0.8021975,0.8021975,1.604395,1.0,0.5,0.5,0.5,0.5,0.0,0.87416,0.77519,0.77519,1.55038,1.0
10.11-10.17,0.5,0.5,0.5,0.5,0.0,0.535867,0.5273645,0.5273645,1.054729,1.0,0.5,0.5,0.5,0.5,0.0,0.560487,0.5352085,0.5352085,1.070417,1.0,0.708747,0.6129260000000001,0.6129260000000001,1.2258520000000002,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
10.18-10.24,0.5,0.5,0.5,0.5,0.0,0.552431,0.5284800000000001,0.5284800000000001,1.0569600000000001,1.0,0.5,0.5,0.5,0.5,0.0,0.589399,0.5790895,0.5790895,1.158179,1.0,0.685379,0.617439,0.617439,1.234878,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
10.25-10.31,0.5,0.5,0.5,0.5,0.0,0.5705720000000001,0.5567235,0.5567235,1.113447,1.0,0.5,0.5,0.5,0.5,0.0,0.554087,0.531839,0.531839,1.063678,1.0,0.778621,0.7663695,0.7663695,1.532739,1.0,0.5,0.5,0.5,0.5,0.0,0.5079859999999999,0.5039929999999999,0.5079859999999999,0.5079859999999999,0.5
11.01-11.07,0.5,0.5,0.5,0.5,0.0,0.542027,0.5350105,0.5350105,1.070021,1.0,0.5,0.5,0.5,0.5,0.0,0.608106,0.570126,0.570126,1.140252,1.0,0.879704,0.8583205,0.8583205,1.716641,1.0,0.5,0.5,0.5,0.5,0.0,0.732214,0.7231780000000001,0.7231780000000001,1.4463560000000002,1.0
11.08-11.14,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.599939,0.599939,0.599939,0.599939,1.0,0.747663,0.747663,0.747663,0.747663,1.0,0.5,0.5,0.5,0.5,0.0,0.792251,0.792251,0.792251,0.792251,1.0
11.15-11.21,0.5,0.5,0.5,0.5,0.0,0.6176119999999999,0.5,0.6176119999999999,0.6176119999999999,0.25,0.5095609999999999,0.5,0.5095609999999999,0.5095609999999999,0.25,0.612034,0.5593925,0.5696935,2.278774,1.0,0.7002659999999999,0.58643,0.686563,1.373126,0.5,0.5,0.5,0.5,0.5,0.0,0.713699,0.5,0.713699,0.713699,0.25
11.22-11.28,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.779523,0.779523,0.779523,0.779523,1.0,0.5,0.5,0.5,0.5,0.0,0.5394,0.5394,0.5394,0.5394,1.0
11.29-12.05,0.5,0.5,0.5,0.5,0.0,0.579896,0.579896,0.579896,0.579896,1.0,0.5,0.5,0.5,0.5,0.0,0.518119,0.518119,0.518119,0.518119,1.0,0.657197,0.657197,0.657197,0.657197,1.0,0.5,0.5,0.5,0.5,0.0,0.697542,0.697542,0.697542,0.697542,1.0
12.06-12.12,0.5,0.5,0.5,0.5,0.0,0.561824,0.5605395,0.5605395,1.121079,1.0,0.502255,0.5011275,0.502255,0.502255,0.5,0.519944,0.5173155,0.5173155,1.034631,1.0,0.797955,0.7355389999999999,0.7355389999999999,1.4710779999999999,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
12.13-12.19,0.5,0.5,0.5,0.5,0.0,0.630358,0.583766,0.583766,1.167532,1.0,0.515464,0.5077320000000001,0.515464,0.515464,0.5,0.5,0.5,0.5,0.5,0.0,0.837362,0.801509,0.801509,1.603018,1.0,0.5,0.5,0.5,0.5,0.0,0.814576,0.7262945000000001,0.7262945000000001,1.4525890000000001,1.0
12.20-12.26,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
